conv_layers,kernel_size,use_batchnorm,fc_neurons,run,accuracy,PPV,NPV,sensitivity,specificity,F-score
"[8, 32]",8,True,32,0,0.9705,0.9681592039800995,0.9728643216080402,0.973,0.968,0.970573566084788
"[8, 32]",8,True,32,1,0.9615,0.9694811800610377,0.9537856440511308,0.953,0.97,0.9611699445284921
"[8, 32]",8,True,32,2,0.9415,0.9518935516888434,0.9315738025415444,0.93,0.953,0.9408194233687405
"[8, 32]",8,True,32,3,0.964,0.9705882352941176,0.9575936883629191,0.957,0.971,0.9637462235649547
"[8, 32]",8,False,2,0,0.5,,0.5,0.0,1.0,
"[8, 32]",8,False,2,1,0.5,,0.5,0.0,1.0,
"[8, 32]",8,False,2,2,0.693,0.6751361161524501,0.7149220489977728,0.744,0.642,0.7078972407231209
"[8, 32]",8,False,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",8,False,8,0,0.8665,0.8911419423692636,0.8447789275634995,0.835,0.898,0.8621579762519359
"[8, 32]",8,False,8,1,0.859,0.8731808731808732,0.8458574181117534,0.84,0.878,0.8562691131498472
"[8, 32]",8,False,8,2,0.8495,0.8562691131498471,0.8429833169774289,0.84,0.859,0.8480565371024735
"[8, 32]",8,False,8,3,0.8475,0.8471528471528471,0.8478478478478478,0.848,0.847,0.847576211894053
"[8, 32]",8,False,32,0,0.8635,0.872057318321392,0.855327468230694,0.852,0.875,0.8619119878603944
"[8, 32]",8,False,32,1,0.8635,0.8660624370594159,0.8609731876861966,0.86,0.867,0.8630205720020069
"[8, 32]",8,False,32,2,0.8665,0.8720812182741117,0.8610837438423645,0.859,0.874,0.8654911838790931
"[8, 32]",8,False,32,3,0.8655,0.8703140830800405,0.8608094768015795,0.859,0.872,0.8646200301962759
"[32, 8]",2,True,2,0,0.975,0.9837067209775967,0.9666011787819253,0.966,0.984,0.9747729566094852
"[32, 8]",2,True,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",2,True,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",2,True,2,3,0.5,,0.5,0.0,1.0,
"[32, 8]",2,True,8,0,0.5005,0.5002501250625313,1.0,1.0,0.001,0.6668889629876626
"[32, 8]",2,True,8,1,0.975,0.9856850715746421,0.9647749510763209,0.964,0.986,0.974721941354904
"[32, 8]",2,True,8,2,0.978,0.9789579158316634,0.9770459081836327,0.977,0.979,0.9779779779779781
"[32, 8]",2,True,8,3,0.9775,0.9760717846460618,0.9789368104312939,0.979,0.976,0.9775336994508238
"[32, 8]",2,True,32,0,0.9785,0.9751737835153923,0.9818731117824774,0.982,0.975,0.9785749875435975
"[32, 8]",2,True,32,1,0.9755,0.9778894472361809,0.9731343283582089,0.973,0.978,0.9754385964912282
"[32, 8]",2,True,32,2,0.9735,0.9856410256410256,0.9619512195121951,0.961,0.986,0.9731645569620254
"[32, 8]",2,True,32,3,0.976,0.9779116465863453,0.9741035856573705,0.974,0.978,0.9759519038076151
"[32, 8]",2,False,2,0,0.687,0.6675627240143369,0.7115384615384616,0.745,0.629,0.7041587901701323
"[32, 8]",2,False,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",2,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",2,False,2,3,0.735,0.6868044515103339,0.816711590296496,0.864,0.606,0.7652790079716563
"[32, 8]",2,False,8,0,0.736,0.7341269841269841,0.7379032258064516,0.74,0.732,0.7370517928286853
"[32, 8]",2,False,8,1,0.728,0.7095588235294118,0.75,0.772,0.684,0.7394636015325671
"[32, 8]",2,False,8,2,0.8135,0.8119402985074626,0.8150753768844221,0.816,0.811,0.8139650872817955
"[32, 8]",2,False,8,3,0.7825,0.7729468599033816,0.7927461139896373,0.8,0.765,0.7862407862407862
"[32, 8]",2,False,32,0,0.8585,0.8532019704433498,0.8639593908629442,0.866,0.851,0.8595533498759305
"[32, 8]",2,False,32,1,0.8185,0.8233502538071066,0.8137931034482758,0.811,0.826,0.8171284634760706
"[32, 8]",2,False,32,2,0.8165,0.8136769078295342,0.8193743693239153,0.821,0.812,0.817322050771528
"[32, 8]",2,False,32,3,0.81,0.7980769230769231,0.8229166666666666,0.83,0.79,0.8137254901960784
"[32, 8]",4,True,2,0,0.5,,0.5,0.0,1.0,
"[32, 8]",4,True,2,1,0.9795,0.97997997997998,0.9790209790209791,0.979,0.98,0.9794897448724361
"[32, 8]",4,True,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",4,True,2,3,0.5,,0.5,0.0,1.0,
"[32, 8]",4,True,8,0,0.9735,0.9768378650553877,0.9702085402184707,0.97,0.977,0.973406924234822
"[32, 8]",4,True,8,1,0.9745,0.9730807577268196,0.9759277833500501,0.976,0.973,0.9745381927109337
"[32, 8]",4,True,8,2,0.971,0.9700598802395209,0.9719438877755511,0.972,0.97,0.971028971028971
"[32, 8]",4,True,8,3,0.975,0.975,0.975,0.975,0.975,0.9749999999999999
"[32, 8]",4,True,32,0,0.971,0.9700598802395209,0.9719438877755511,0.972,0.97,0.971028971028971
"[32, 8]",4,True,32,1,0.9775,0.9760717846460618,0.9789368104312939,0.979,0.976,0.9775336994508238
"[32, 8]",4,True,32,2,0.9725,0.9673590504451038,0.9777553083923155,0.978,0.967,0.9726504226752859
"[32, 8]",4,True,32,3,0.9735,0.973973973973974,0.973026973026973,0.973,0.974,0.9734867433716858
"[32, 8]",4,False,2,0,0.5,,0.5,0.0,1.0,
"[32, 8]",4,False,2,1,0.864,0.8729508196721312,0.85546875,0.852,0.876,0.8623481781376517
"[32, 8]",4,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",4,False,2,3,0.5,,0.5,0.0,1.0,
"[32, 8]",4,False,8,0,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",4,False,8,1,0.836,0.8071297989031079,0.8708609271523179,0.883,0.789,0.8433619866284623
"[32, 8]",4,False,8,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",4,False,8,3,0.8475,0.8527918781725888,0.8423645320197044,0.84,0.855,0.8463476070528967
"[32, 8]",4,False,32,0,0.8725,0.8804902962206334,0.8648383937316356,0.862,0.883,0.8711470439615967
"[32, 8]",4,False,32,1,0.8765,0.8853633572159673,0.8680351906158358,0.865,0.888,0.8750632271117856
"[32, 8]",4,False,32,2,0.8635,0.8532555879494655,0.874356333676622,0.878,0.849,0.865450961064564
"[32, 8]",4,False,32,3,0.878,0.8833671399594321,0.8727810650887574,0.871,0.885,0.8771399798590132
"[32, 8]",8,True,2,0,0.5,,0.5,0.0,1.0,
"[32, 8]",8,True,2,1,0.9665,0.983419689119171,0.9507246376811594,0.949,0.984,0.9659033078880406
"[32, 8]",8,True,2,2,0.9735,0.9646712463199215,0.9826707441386341,0.983,0.964,0.9737493808816245
"[32, 8]",8,True,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",8,True,8,0,0.976,0.9817813765182186,0.9703557312252964,0.97,0.982,0.9758551307847083
"[32, 8]",8,True,8,1,0.9645,0.963110667996012,0.9658976930792377,0.966,0.963,0.964553170244633
"[32, 8]",8,True,8,2,0.9735,0.973973973973974,0.973026973026973,0.973,0.974,0.9734867433716858
"[32, 8]",8,True,8,3,0.9695,0.970912738214644,0.9680957128614157,0.968,0.971,0.9694541812719079
"[32, 8]",8,True,32,0,0.973,0.9758551307847082,0.9701789264413518,0.97,0.976,0.9729187562688063
"[32, 8]",8,True,32,1,0.9635,0.9658291457286432,0.9611940298507463,0.961,0.966,0.9634085213032579
"[32, 8]",8,True,32,2,0.9735,0.9807106598984772,0.9665024630541872,0.966,0.981,0.9732997481108311
"[32, 8]",8,True,32,3,0.969,0.971830985915493,0.9662027833001988,0.966,0.972,0.9689067201604814
"[32, 8]",8,False,2,0,0.863,0.8651911468812877,0.8608349900596421,0.86,0.866,0.8625877632898695
"[32, 8]",8,False,2,1,0.5,,0.5,0.0,1.0,
"[32, 8]",8,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",8,False,2,3,0.842,0.8577405857740585,0.8275862068965517,0.82,0.864,0.838445807770961
"[32, 8]",8,False,8,0,0.5,,0.5,0.0,1.0,
"[32, 8]",8,False,8,1,0.8785,0.8955067920585162,0.862895493767977,0.857,0.9,0.8758303525804804
"[32, 8]",8,False,8,2,0.863,0.8651911468812877,0.8608349900596421,0.86,0.866,0.8625877632898695
"[32, 8]",8,False,8,3,0.8785,0.890608875128999,0.8671193016488846,0.863,0.894,0.8765871000507871
"[32, 8]",8,False,32,0,0.8695,0.8797533401849948,0.8597857838364168,0.856,0.883,0.8677141409021795
"[32, 8]",8,False,32,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[32, 8]",8,False,32,2,0.5,,0.5,0.0,1.0,
"[32, 8]",8,False,32,3,0.875,0.8914405010438413,0.8598848368522073,0.854,0.896,0.8723186925434117
"[2, 8, 32]",2,True,2,0,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",2,True,2,1,0.9595,0.9500489715964741,0.9693564862104188,0.97,0.949,0.9599208312716476
"[2, 8, 32]",2,True,2,2,0.9245,0.9380804953560371,0.9117361784675073,0.909,0.94,0.9233113255459623
"[2, 8, 32]",2,True,2,3,0.9005,0.8945812807881773,0.9065989847715736,0.908,0.893,0.9012406947890819
"[2, 8, 32]",2,True,8,0,0.9095,0.9082751744765702,0.9107321965897693,0.911,0.908,0.90963554667998
"[2, 8, 32]",2,True,8,1,0.967,0.9587426326129665,0.9755600814663951,0.976,0.958,0.9672943508424183
"[2, 8, 32]",2,True,8,2,0.928,0.9349593495934959,0.9212598425196851,0.92,0.936,0.9274193548387096
"[2, 8, 32]",2,True,8,3,0.908,0.9154786150712831,0.9007858546168959,0.899,0.917,0.9071644803229061
"[2, 8, 32]",2,True,32,0,0.913,0.923155737704918,0.9033203125,0.901,0.925,0.9119433198380567
"[2, 8, 32]",2,True,32,1,0.953,0.9557344064386318,0.9502982107355865,0.95,0.956,0.9528585757271816
"[2, 8, 32]",2,True,32,2,0.9225,0.9289340101522843,0.916256157635468,0.915,0.93,0.9219143576826196
"[2, 8, 32]",2,True,32,3,0.922,0.9228456913827655,0.9211576846307385,0.921,0.923,0.9219219219219219
"[2, 8, 32]",2,False,2,0,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",2,False,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",2,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",2,False,2,3,0.805,0.7589134125636672,0.8710462287104623,0.894,0.716,0.8209366391184572
"[2, 8, 32]",2,False,8,0,0.819,0.8170974155069582,0.8209255533199196,0.822,0.816,0.8195413758723828
"[2, 8, 32]",2,False,8,1,0.76,0.7280701754385965,0.8023255813953488,0.83,0.69,0.7757009345794392
"[2, 8, 32]",2,False,8,2,0.7575,0.8025851938895417,0.7241079199303743,0.683,0.832,0.7379794705564561
"[2, 8, 32]",2,False,8,3,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",2,False,32,0,0.8235,0.8180924287118977,0.8290946083418108,0.832,0.815,0.8249876053544868
"[2, 8, 32]",2,False,32,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",2,False,32,2,0.7935,0.7803247373447947,0.8079748163693599,0.817,0.77,0.7982413287738154
"[2, 8, 32]",2,False,32,3,0.837,0.8303921568627451,0.8438775510204082,0.847,0.827,0.8386138613861386
"[2, 8, 32]",4,True,2,0,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",4,True,2,1,0.962,0.9592445328031809,0.9647887323943662,0.965,0.959,0.9621136590229311
"[2, 8, 32]",4,True,2,2,0.9615,0.9656912209889001,0.9573835480673935,0.957,0.966,0.9613259668508286
"[2, 8, 32]",4,True,2,3,0.893,0.9026639344262295,0.8837890625,0.881,0.905,0.8917004048582997
"[2, 8, 32]",4,True,8,0,0.9135,0.9090009891196835,0.9180990899898888,0.919,0.908,0.9139731476877175
"[2, 8, 32]",4,True,8,1,0.964,0.9649298597194389,0.9630738522954092,0.963,0.965,0.963963963963964
"[2, 8, 32]",4,True,8,2,0.9605,0.9752321981424149,0.9466537342386033,0.945,0.976,0.9598781107160994
"[2, 8, 32]",4,True,8,3,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",4,True,32,0,0.946,0.9495967741935484,0.9424603174603174,0.942,0.95,0.9457831325301205
"[2, 8, 32]",4,True,32,1,0.9385,0.9345887016848364,0.9424823410696267,0.943,0.934,0.9387755102040816
"[2, 8, 32]",4,True,32,2,0.9585,0.9645390070921985,0.9526159921026653,0.952,0.965,0.9582284851534977
"[2, 8, 32]",4,True,32,3,0.9095,0.9026548672566371,0.9165818921668362,0.918,0.901,0.9102627664848785
"[2, 8, 32]",4,False,2,0,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",4,False,2,1,0.8455,0.8465396188565697,0.8444666001994018,0.844,0.847,0.845267901852779
"[2, 8, 32]",4,False,2,2,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",4,False,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",4,False,8,0,0.512,0.5189274447949527,0.5087847730600292,0.329,0.695,0.40269277845777235
"[2, 8, 32]",4,False,8,1,0.8505,0.8639667705088265,0.8379942140790743,0.832,0.869,0.847682119205298
"[2, 8, 32]",4,False,8,2,0.856,0.8640081799591002,0.8483365949119374,0.845,0.867,0.8543983822042467
"[2, 8, 32]",4,False,8,3,0.824,0.8233532934131736,0.8246492985971944,0.825,0.823,0.8241758241758241
"[2, 8, 32]",4,False,32,0,0.8485,0.8559754851889684,0.8413320274240941,0.838,0.859,0.8468923698837797
"[2, 8, 32]",4,False,32,1,0.862,0.8671399594320487,0.8570019723865878,0.855,0.869,0.8610271903323262
"[2, 8, 32]",4,False,32,2,0.8535,0.8581560283687943,0.8489634748272458,0.847,0.86,0.8525415198792149
"[2, 8, 32]",4,False,32,3,0.788,0.7851485148514852,0.7909090909090909,0.793,0.783,0.7890547263681592
"[2, 8, 32]",8,True,2,0,0.9225,0.9306829765545361,0.914622178606477,0.913,0.932,0.9217566885411408
"[2, 8, 32]",8,True,2,1,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",8,True,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",8,True,2,3,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",8,True,8,0,0.884,0.8832335329341318,0.8847695390781564,0.885,0.883,0.8841158841158843
"[2, 8, 32]",8,True,8,1,0.9695,0.9671641791044776,0.9718592964824121,0.972,0.967,0.9695760598503741
"[2, 8, 32]",8,True,8,2,0.908,0.9063745019920318,0.9096385542168675,0.91,0.906,0.9081836327345308
"[2, 8, 32]",8,True,8,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",8,True,32,0,0.891,0.8833333333333333,0.8989795918367347,0.901,0.881,0.892079207920792
"[2, 8, 32]",8,True,32,1,0.9695,0.9776195320447609,0.9616519174041298,0.961,0.978,0.9692385274836106
"[2, 8, 32]",8,True,32,2,0.8795,0.8798798798798799,0.8791208791208791,0.879,0.88,0.87943971985993
"[2, 8, 32]",8,True,32,3,0.9125,0.9187817258883249,0.9064039408866995,0.905,0.92,0.9118387909319899
"[2, 8, 32]",8,False,2,0,0.6955,0.6728558797524314,0.7249712313003452,0.761,0.63,0.7142186766776161
"[2, 8, 32]",8,False,2,1,0.5,,0.5,0.0,1.0,
"[2, 8, 32]",8,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",8,False,2,3,0.835,0.8343313373253493,0.8356713426853707,0.836,0.834,0.8351648351648351
"[2, 8, 32]",8,False,8,0,0.667,0.6412859560067682,0.7041564792176039,0.758,0.576,0.694775435380385
"[2, 8, 32]",8,False,8,1,0.8415,0.8398009950248756,0.84321608040201,0.844,0.839,0.8418952618453867
"[2, 8, 32]",8,False,8,2,0.814,0.8115079365079365,0.8165322580645161,0.818,0.81,0.8147410358565738
"[2, 8, 32]",8,False,8,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8, 32]",8,False,32,0,0.6735,0.6451882845188285,0.715527950310559,0.771,0.576,0.7025056947608201
"[2, 8, 32]",8,False,32,1,0.668,0.6435897435897436,0.7024096385542169,0.753,0.583,0.6940092165898617
"[2, 8, 32]",8,False,32,2,0.6835,0.6594265855777585,0.7161366313309776,0.759,0.608,0.705718270571827
"[2, 8, 32]",8,False,32,3,0.8385,0.8374875373878365,0.839518555667001,0.84,0.837,0.8387418871692461
