conv_layers,kernel_size,use_batchnorm,fc_neurons,run,accuracy,PPV,NPV,sensitivity,specificity,F-score
"[2, 2]",8,True,8,1,0.874,0.8638132295719845,0.8847736625514403,0.888,0.86,0.8757396449704142
"[2, 2]",8,True,8,2,0.5,,0.5,0.0,1.0,
"[2, 2]",8,True,8,3,0.875,0.8591954022988506,0.8922594142259415,0.897,0.853,0.8776908023483367
"[2, 2]",8,True,32,0,0.88,0.8653846153846154,0.8958333333333334,0.9,0.86,0.8823529411764706
"[2, 2]",8,True,32,1,0.866,0.8630952380952381,0.8689516129032258,0.87,0.862,0.8665338645418328
"[2, 2]",8,True,32,2,0.858,0.8516699410609038,0.8645621181262729,0.867,0.849,0.8592666005946482
"[2, 2]",8,True,32,3,0.8885,0.8805093046033301,0.8968335035750766,0.899,0.878,0.8896585848589807
"[2, 2]",8,False,2,0,0.5845,0.6175243393602226,0.5659640905542545,0.444,0.725,0.5165794066317626
"[2, 2]",8,False,2,1,0.748,0.7525458248472505,0.743614931237721,0.739,0.757,0.7457114026236125
"[2, 2]",8,False,2,2,0.674,0.6526315789473685,0.7023255813953488,0.744,0.604,0.6953271028037384
"[2, 2]",8,False,2,3,0.5,,0.5,0.0,1.0,
"[2, 2]",8,False,8,0,0.773,0.7676470588235295,0.7785714285714286,0.783,0.763,0.7752475247524752
"[2, 2]",8,False,8,1,0.5,,0.5,0.0,1.0,
"[2, 2]",8,False,8,2,0.5,,0.5,0.0,1.0,
"[2, 2]",8,False,8,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",8,False,32,0,0.6665,0.6474756421612046,0.6911595866819747,0.731,0.602,0.6867073743541569
"[2, 2]",8,False,32,1,0.813,0.8038834951456311,0.822680412371134,0.828,0.798,0.8157635467980296
"[2, 2]",8,False,32,2,0.6645,0.6441717791411042,0.6915017462165308,0.735,0.594,0.6865950490425035
"[2, 2]",8,False,32,3,0.73,0.719047619047619,0.7421052631578947,0.755,0.705,0.7365853658536585
"[2, 8]",2,True,2,0,0.7635,0.7277441659464131,0.8125741399762753,0.842,0.685,0.7807139545665277
"[2, 8]",2,True,2,1,0.5,,0.5,0.0,1.0,
"[2, 8]",2,True,2,2,0.5,,0.5,0.0,1.0,
"[2, 8]",2,True,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8]",2,True,8,0,0.96,0.9609218436873748,0.9590818363273453,0.959,0.961,0.95995995995996
"[2, 8]",2,True,8,1,0.968,0.9670658682634731,0.968937875751503,0.969,0.967,0.968031968031968
"[2, 8]",2,True,8,2,0.935,0.9298418972332015,0.9402834008097166,0.941,0.929,0.9353876739562624
"[2, 8]",2,True,8,3,0.818,0.8225152129817445,0.8136094674556213,0.811,0.825,0.8167170191339377
"[2, 8]",2,True,32,0,0.807,0.790719696969697,0.8252118644067796,0.835,0.779,0.8122568093385213
"[2, 8]",2,True,32,1,0.9675,0.9698492462311558,0.9651741293532339,0.965,0.97,0.9674185463659146
"[2, 8]",2,True,32,2,0.9465,0.9373163565132223,0.9560776302349336,0.957,0.936,0.9470559129143987
"[2, 8]",2,True,32,3,0.967,0.9745934959349594,0.9596456692913385,0.959,0.975,0.9667338709677419
"[2, 8]",2,False,2,0,0.5,,0.5,0.0,1.0,
"[2, 8]",2,False,2,1,0.5,,0.5,0.0,1.0,
"[2, 8]",2,False,2,2,0.5,,0.5,0.0,1.0,
"[2, 8]",2,False,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8]",2,False,8,0,0.756,0.7158516020236088,0.8144963144963145,0.849,0.663,0.77676120768527
"[2, 8]",2,False,8,1,0.646,0.6147798742138365,0.7005494505494505,0.782,0.51,0.6883802816901408
"[2, 8]",2,False,8,2,0.7805,0.775811209439528,0.785350966429298,0.789,0.772,0.7823500247892909
"[2, 8]",2,False,8,3,0.7425,0.715939447907391,0.7765108323831242,0.804,0.681,0.7574187470560528
"[2, 8]",2,False,32,0,0.571,0.5570739549839229,0.593915343915344,0.693,0.449,0.6176470588235294
"[2, 8]",2,False,32,1,0.5,,0.5,0.0,1.0,
"[2, 8]",2,False,32,2,0.658,0.648217636022514,0.6691648822269807,0.691,0.625,0.6689254598257502
"[2, 8]",2,False,32,3,0.7505,0.7300275482093664,0.7749725576289791,0.795,0.706,0.7611297271421733
"[2, 8]",4,True,2,0,0.833,0.8290513833992095,0.8370445344129555,0.839,0.827,0.8339960238568589
"[2, 8]",4,True,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8]",4,True,2,2,0.967,0.9569471624266145,0.9775051124744376,0.978,0.956,0.9673590504451038
"[2, 8]",4,True,2,3,0.5,,0.5,0.0,1.0,
"[2, 8]",4,True,8,0,0.8635,0.8518877057115198,0.8759048603929679,0.88,0.847,0.865715691096901
"[2, 8]",4,True,8,1,0.86,0.8377110694183865,0.8854389721627409,0.893,0.827,0.8644724104549854
"[2, 8]",4,True,8,2,0.972,0.9691848906560636,0.9748490945674044,0.975,0.969,0.9720837487537387
"[2, 8]",4,True,8,3,0.856,0.8254113345521024,0.8929359823399559,0.903,0.809,0.8624641833810887
"[2, 8]",4,True,32,0,0.8875,0.8817733990147784,0.8934010152284264,0.895,0.88,0.8883374689826304
"[2, 8]",4,True,32,1,0.8985,0.9029322548028311,0.8941641938674579,0.893,0.904,0.8979386626445451
"[2, 8]",4,True,32,2,0.9725,0.9692154915590864,0.9758308157099698,0.976,0.969,0.9725959142999503
"[2, 8]",4,True,32,3,0.873,0.8664047151277013,0.879837067209776,0.882,0.864,0.8741328047571852
"[2, 8]",4,False,2,0,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8]",4,False,2,1,0.7275,0.7342945417095778,0.7210884353741497,0.713,0.742,0.7234906139015729
"[2, 8]",4,False,2,2,0.7725,0.7511520737327189,0.7978142076502732,0.815,0.73,0.7817745803357314
"[2, 8]",4,False,2,3,0.598,0.5752688172043011,0.6404011461318052,0.749,0.447,0.6507384882710686
"[2, 8]",4,False,8,0,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8]",4,False,8,1,0.839,0.8538622129436325,0.8253358925143954,0.818,0.86,0.8355464759959141
